timestamp,PAPI_REF_CYC,pp0-power,pp1-power,pkg-power,ram-power
21:4:7.959,743, 0.26, 0.04, 1.64, 0.49
21:4:8.960,907, 0.25, 0.00, 1.56, 0.46
21:4:9.960,836, 0.20, 0.00, 1.53, 0.46
21:4:10.961,803, 0.19, 0.00, 1.49, 0.45
21:4:11.962,1121, 0.24, 0.00, 1.58, 0.48
21:4:12.963,728, 0.19, 0.00, 1.51, 0.46
21:4:13.964,767, 0.32, 0.00, 1.66, 0.49
21:4:14.965,750, 0.19, 0.00, 1.51, 0.46
21:4:15.965,744, 0.22, 0.00, 1.53, 0.45
21:4:16.966,749, 0.20, 0.00, 1.50, 0.45
