timestamp,PAPI_VEC_SP,pp0-power,pp1-power,pkg-power,ram-power
21:3:0.173,0, 1.38, 0.01, 2.73, 0.54
21:3:1.174,0, 0.80, 0.00, 2.11, 0.50
21:3:2.175,0, 0.22, 0.00, 1.45, 0.42
21:3:3.176,0, 0.18, 0.00, 1.41, 0.42
21:3:4.177,0, 0.22, 0.00, 1.45, 0.42
21:3:5.178,0, 0.18, 0.00, 1.41, 0.42
21:3:6.179,0, 0.20, 0.00, 1.44, 0.43
21:3:7.180,0, 0.18, 0.00, 1.42, 0.42
21:3:8.181,0, 0.23, 0.00, 1.47, 0.43
21:3:9.182,0, 0.22, 0.00, 1.45, 0.42
